Q12012;AT&T (Boston);360
Q22012;AT&T (Boston);1988
Q32012;AT&T (Boston);499,95
Q42012;AT&T (Boston);356
Q12013;Target (Boston);160
Q22013;Target (Boston);160
Q32013;Target (Boston);160
Q42013;Target (Boston);200
Q12013;Best Buy (Cambridge);200
Q22013;Best Buy (Cambridge);0
Q32013;Best Buy (Cambridge);100
Q42013;Best Buy (Cambridge);150
Q12011;AT&T (Time Square);1389
Q12012;AT&T (Time Square);20
Q22011;AT&T (Time Square);125
Q22012;AT&T (Time Square);17,98
Q32011;AT&T (Time Square);224,95
Q32012;AT&T (Time Square);23,98
Q42011;AT&T (Time Square);600
Q42012;AT&T (Time Square);499,9
Q12011;Cost Co. (IL);1234
Q12012;Cost Co. (IL);1500
Q12013;Cost Co. (IL);30
Q22011;Cost Co. (IL);999
Q22012;Cost Co. (IL);1778
Q22013;Cost Co. (IL);399,9
Q32011;Cost Co. (IL);405
Q32012;Cost Co. (IL);999,5
Q32013;Cost Co. (IL);499,9
Q42011;Cost Co. (IL);2200
Q42012;Cost Co. (IL);1350
Q42013;Cost Co. (IL);1380
Q12013;Best Buy (CA);99,98
Q22013;Best Buy (CA);224,95
Q32013;Best Buy (CA);274,95
Q42013;Best Buy (CA);149,95
Q12011;Best Buy (CA);499,9
Q12012;Best Buy (CA);25
Q12013;Best Buy (CA);499
Q22011;Best Buy (CA);399,9
Q22012;Best Buy (CA);250
Q22013;Best Buy (CA);1197
Q32013;Best Buy (CA);220
Q42013;Best Buy (CA);200
Q12013;Target (LA);75,96
Q22013;Target (LA);17,98
Q32013;Target (LA);23,98
Q42013;Target (LA);499,9
